Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
2,11/01/10,993.6,953.9,956.2,968.6,1020.7,1158.4,1375.6,1813.2,1938.2,2011.7,2022.8,1776.5,1847.6,2046.3,2077.8,2101.4,2017.6,2052,1939.7,1892.4,1815.6,1660.7,1474,1342.6,0,44
3,11/02/10,1231.7,1183.7,1170.1,1168.9,1190.9,1318.8,1482,1967.6,2150.6,2233,2239.6,2002.7,2099.3,2246.7,2249.9,2265.5,2206.2,2116.4,2019.5,1936.8,1870.3,1712.7,1510,1285.8,0,44
4,11/03/10,1243.6,1221.1,1197.6,1198.2,1219.8,1321.9,1481.2,1934.6,2126.8,2187.3,2188.6,1959.9,2028.7,2218.2,2270,2270.6,2118.1,2141.3,2006.6,1975.2,1921.6,1760.1,1585.7,1427.3,0,44
5,11/04/10,1303.3,1255.7,1219.4,1213.3,1249.4,1230,1481.1,1910.8,2062.8,2173.6,2170.7,1929.7,2048.5,2237.5,2243,2023.9,1952.8,1980.6,2015.7,1949.3,1901.7,1729,1534,1292.4,0,44
6,11/05/10,1176.8,1178.3,1165.2,1171.7,1192.7,1313,1489.9,1947.2,2081.1,2153.8,2166.9,1957.9,2066,2243,2259.1,2283.4,2171.1,2108.9,2038.4,1975.9,1943.9,1778.1,1596,1379.3,0,44
7,11/06/10,1302.6,1292.9,1231.5,1220.7,1223.9,1281.4,1458,1854.8,2019.2,2117.1,2139,1915,2028.1,2146.7,2114.2,2105.1,2004.5,1985.9,1894.4,1856.5,1817.9,1712.3,1553.9,1394.2,0,44
CN,11/07/10,1278.1,1229.1,1193.7,1174.7,1181.4,1194.8,1254.8,1425.6,1518.5,1566.6,1622.6,1514.6,1530.8,1561,1574,1627.4,1661,1688.5,1662,1590.9,1599,1498.4,1352.5,1182.8,0,44
2,11/08/10,1116.1,1089.4,1076.6,1096.4,1132.6,1231.8,1461.3,1925.4,2092.5,2175.9,2198.4,2002.8,2057.8,2179.2,2302.8,2295.8,2170.7,2136.9,2013.2,1975.5,1943.1,1692.1,1541.2,1431,0,45
3,11/09/10,1302.7,1235.3,1220.4,1216.8,1240.1,1342.2,1488.8,1958.6,2098.3,2194.7,2175.8,1882,2069.8,2258.1,2273.1,2274.9,2205.3,2193.5,2112.7,2053.8,1982.5,1947.1,1633,1441.2,0,45
4,11/10/10,1360.9,1228.1,1273.8,1260.4,1271.5,1352,1539.8,1994.2,2161.6,2203.4,2265.8,2026.1,2122.2,2308.3,2322.3,2342.6,2212.6,2164,2066.3,2023.2,1955.3,1793.4,1586.7,1412.1,0,45
5,11/11/10,1301.1,1276.3,1254.4,1246.1,1277.6,1340.7,1529.7,1976.1,2171,2252.6,2239.2,1997.4,2121.6,2296.1,2307.6,2311.7,2214.1,2139.4,2047,1746,1682.8,1548.1,1381.5,1239,0,45
6,11/12/10,1300.1,1256.3,1231.7,1218.1,1229.9,1350.2,1460.3,1977.4,2143,2224.7,2243.2,2008.5,2105.3,2306.1,2294.4,2313.1,2201.7,2168.5,2077.3,2042.9,2012.6,1880.5,1621.2,1453.8,0,45
7,11/13/10,1360.4,1306.4,1279.3,1279.1,1297.5,1343.9,1521.1,1949.2,2081.3,2144.8,2167,1958.6,2043.2,2153.2,2160.4,2164.7,2005.2,2060.9,1990.9,1962.1,1966.9,1886.4,1740,1551.8,0,45
CN,11/14/10,1408.1,1316.8,1268.7,1253.7,1248.9,1254.9,1284.7,1468.8,1579.7,1669.3,1700.8,1603.2,1616.7,1657.6,1671.8,1659.6,1650.3,1795.4,1756.9,1761.1,1766.8,1707.3,1544.6,1329,0,45
2,11/15/10,1271.1,1212,1183.1,1185.1,1223.2,1309.1,1490.1,2026.4,2219.3,2313.3,2375.6,2074.1,2139.8,2267.8,2250.2,2264,2084.6,2197.3,2117.2,2052.2,2002.4,1854.9,1655.4,1478.3,0,46
3,11/16/10,1359.4,1300.7,1271.4,1263.9,1289.1,1367.3,1550.7,2015.6,2175.1,2258,2249.7,2040.4,2153.1,2318.6,2331.2,2331.7,2246.9,2188.1,2077.5,2055.3,2016,1885.4,1643.8,1418.7,0,46
4,11/17/10,1420.3,1355.4,1310,1309.3,1336.4,1418.9,1561.4,2029.3,2190.7,2265.7,2269.4,2037.4,2134.6,2311.3,2313.3,2300,2278.9,2177.3,2041,1995.1,1935.2,1757.6,1565.8,1416.2,0,46
5,11/18/10,1315.4,1271.7,1255,1251.4,1277.6,1351.6,1506.7,1986.7,2133.1,2230.8,2234.6,2026.5,2105.1,2313.9,2311.6,2300.2,2239.8,2123,2001.3,1978.2,1920.5,1792.7,1604,1445.8,0,46
6,11/19/10,1348.3,1295.1,1261,1227.1,1294.4,1381.3,1536.8,2005.1,2189.8,2268.8,2261.3,2014.3,2097.6,2240.2,2255,2261.1,2168.3,2092.2,2007.3,1942.3,1881,1707.5,1528.9,1360.8,0,46
7,11/20/10,1294.6,1254.9,1233,1215.9,1228.6,1304.1,1484.5,1902.4,2059.9,2149.6,2142.7,1935.4,1996.5,2104.1,2077,2101.3,2023.9,1901,1887.4,1849.2,1831.4,1707,1545.9,1390.9,1,46
CN,11/21/10,1270,1214.4,1180.1,1177,1181.9,1198.3,1247.5,1421.7,1506.8,1501.1,1568.4,1404,1459.1,1508,1524.8,1606.8,1661.5,1741.5,1703.1,1700.3,1692.6,1556.2,1371.2,1263.1,0,46
2,11/22/10,1176.3,1137.1,1106.1,1088.6,1139.2,1261.4,1465.8,1970.43,2162.8,2234.17,2285.77,2058.34,2097.55,2232.7,2275.6,2248,2086.8,2137.6,1999.6,1973.7,1899.5,1712.3,1566,1409.4,0,47
3,11/23/10,1284.3,1244.8,1220.5,1206.2,1243.3,1342.7,1509.1,1996.1,2162.5,2241,2222.8,2023.2,2147,2310.1,2315.2,2294,2173.7,2181.2,2097.9,2054.8,1976.9,1752.3,1574.1,1411.5,0,47
4,11/24/10,1371.4,1313,1288.7,1270.7,1287.4,1383.2,1498.8,2017,2164.8,2322.3,2265.2,2015.7,2171.5,2318.3,2339.9,2372.4,2212.2,2224.9,2140.3,2083.4,2036.4,1905,1685.9,1428.7,0,47
5,11/25/10,1418,1351.4,1321.1,1315.1,1330,1417.7,1585,2030.9,2210.1,2276.3,2219.2,2054.3,2183.4,2275.2,2354.6,2318.8,2259.5,2224.8,2106.7,2019.4,1973.5,1855,1632.5,1484.7,0,47
